FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04
1354,2108,126.6426384,45.7134915,5,18.16158725,0.460420398,802.1665223
1355,2109,126.6350081,45.72531533,14,19.18472755,0.460420398,1986.198294
1356,2110,126.642587,45.73538226,47,20.31540302,0.431791918,3406.328325
1357,2111,126.6434235,45.73893308,47,20.31540302,0.431791918,5053.579366
1358,2112,126.5843049,45.73115856,14,22.94575646,0.460420398,3344.070576
1359,2113,126.5885426,45.72702412,14,22.94575646,0.460420398,1211.904795
1360,2114,126.5944463,45.72999174,14,22.94575646,0.460420398,808.9526032
1361,2115,126.5834722,45.72760738,14,22.94575646,0.460420398,562.3496092
1362,2116,126.5893756,45.73057526,14,22.94575646,0.460420398,1964.852587
1363,2117,126.5952797,45.73354285,14,22.94575646,0.460420398,1037.655221
1364,2118,126.5986832,45.72585689,14,21.56491593,0.460420398,1428.945905
1365,2119,126.6096577,45.72823979,14,21.56491593,0.460420398,2284.120816
1366,2120,126.6045873,45.728824,14,21.56491593,0.460420398,1139.39396
1367,2121,126.593613,45.72644062,14,22.94575646,0.460420398,2801.848039
1368,2122,126.6104921,45.73179081,14,21.56491593,0.460420398,3779.313097
1369,2123,126.5995168,45.72940798,14,21.56491593,0.460420398,1052.946759
1370,2124,126.6054214,45.73237505,14,21.56491593,0.460420398,2743.708125
1371,2125,126.6121611,45.73889284,48,21.56491593,0.431791918,2314.222795
1372,2126,126.5902087,45.73412641,14,22.94575646,0.460420398,2233.199933
1373,2127,126.6003506,45.73295906,14,22.94575646,0.460420398,2344.474627
1374,2128,126.6113265,45.73534183,48,21.56491593,0.431791918,1405.984299
1375,2129,126.6129958,45.74244384,48,21.56491593,0.431791918,3514.829206
1376,2130,126.5910419,45.73767754,48,24.47172754,0.460420398,4707.132903
1377,2131,126.5851377,45.73470974,14,24.47172754,0.460420398,2810.306036
1378,2132,126.5918752,45.74122868,48,24.47172754,0.460420398,1520.844688
1379,2133,126.5859705,45.73826091,48,24.47172754,0.460420398,3811.78431
1380,2134,126.5969468,45.74064506,48,22.94575646,0.460420398,807.5355079
1381,2135,126.5977806,45.74419615,48,22.94575646,0.460420398,1693.4961
1382,2136,126.5868035,45.74181207,48,24.47172754,0.460420398,3113.48173
1383,2137,126.5876366,45.74536322,48,24.47172754,0.460420398,3975.703595
1384,2138,126.6011844,45.73651014,48,22.94575646,0.460420398,1299.394541
1385,2139,126.6028524,45.74361228,48,22.94575646,0.431791918,1543.257697
1386,2140,126.5927086,45.7447798,48,22.94575646,0.460420398,1608.859428
1387,2141,126.5961132,45.73709396,48,22.94575646,0.460420398,2837.93573
1388,2142,126.6020184,45.74006121,48,22.94575646,0.460420398,757.4109787
1389,2143,126.6070898,45.73947714,48,22.94575646,0.431791918,2710.597996
1390,2144,126.6062555,45.7359261,48,21.56491593,0.460420398,1574.756351
1391,2145,126.6088234,45.72468876,14,21.56491593,0.460420398,1237.919324
1392,2146,126.6037534,45.72527294,14,21.56491593,0.460420398,1787.20257
