FID,FID_04km_b,Lon04,Lat04,FID_44km,GroundMean04,AOD_Kriging04,RoadLength04,AOD_RF
232,618,126.5931977,45.59154601,12,17.23575477,0.384397242,818.8015606,0.3765359199999996
233,619,126.5839124,45.59626448,12,17.23575477,0.384397242,946.0371341,0.3765586299999996
234,621,126.5940294,45.59509717,12,17.23575477,0.384397242,989.051726,0.3765586299999996
235,622,126.5847435,45.59981569,12,17.23575477,0.384397242,1410.347167,0.3765981199999996
236,623,126.5855748,45.6033669,12,17.23575477,0.399803638,809.3307943,0.39277249999999986
237,624,126.5922973,45.60988563,12,17.23575477,0.399803638,491.820033,0.3931608299999999
238,625,126.5931291,45.61343679,12,17.23575477,0.40809458,695.1586361,0.39426680999999986
239,632,126.5805155,45.60395027,12,17.23575477,0.399803638,243.4138909,0.39277249999999986
240,634,126.5864061,45.6069181,12,17.23575477,0.399803638,595.122186,0.3931608299999999
241,636,126.5872375,45.61046929,12,17.23575477,0.399803638,46.9311382,0.3935801799999999
242,638,126.5914655,45.60633447,12,17.23575477,0.399803638,1252.618259,0.39277249999999986
243,640,126.6100953,45.5750032,13,16.39797544,0.384397242,1385.905213,0.3787500499999996
244,642,126.5999821,45.57617159,12,16.39797544,0.384397242,1748.521732,0.3787500499999996
245,643,126.6151517,45.57441867,13,16.39797544,0.384397242,606.5725373,0.3787500499999996
246,644,126.6210444,45.57738588,13,16.39797544,0.384397242,1239.116168,0.3787500499999996
247,645,126.6168207,45.58152191,13,16.39797544,0.384397242,410.6810841,0.3790277899999996
248,646,126.6050387,45.57558751,13,16.39797544,0.384397242,1700.876667,0.3787500499999996
249,647,126.6109311,45.57855566,13,16.39797544,0.384397242,1368.162926,0.3787500499999996
250,648,126.620208,45.57383391,13,16.39797544,0.384397242,734.4640278,0.3787500499999996
251,649,126.6159878,45.57797088,13,16.39797544,0.384397242,1331.831308,0.3787500499999996
252,650,126.6235444,45.58803884,13,16.39797544,0.384397242,617.7606247,0.3766183599999996
253,651,126.6024815,45.58682676,12,17.23575477,0.384397242,1417.904856,0.37930735999999965
254,652,126.5906339,45.6027833,12,17.23575477,0.384397242,1662.442897,0.37601159999999956
255,653,126.6016494,45.58327565,12,17.23575477,0.384397242,1171.950275,0.3790277899999996
256,654,126.6008174,45.57972453,12,16.39797544,0.384397242,865.3317649,0.3787500499999996
257,655,126.607539,45.58624237,13,17.23575477,0.384397242,1233.534567,0.37930735999999965
258,656,126.6083715,45.58979345,13,17.23575477,0.384397242,1221.225782,0.3766183599999996
259,657,126.5974239,45.58741092,12,17.23575477,0.384397242,1238.475263,0.3766183599999996
260,658,126.6117637,45.58210671,13,16.39797544,0.384397242,1579.388105,0.3790277899999996
261,659,126.6058743,45.57914021,13,16.39797544,0.384397242,1421.089316,0.3787500499999996
262,660,126.6067066,45.58269129,13,16.39797544,0.384397242,1074.082285,0.3790277899999996
263,661,126.6176538,45.58507292,13,16.39797544,0.384397242,1228.160909,0.37930735999999965
264,662,126.6218776,45.58093687,13,16.39797544,0.384397242,1458.774619,0.3790277899999996
265,663,126.6184869,45.58862394,13,17.23575477,0.384397242,601.5490435,0.3766183599999996
266,664,126.6125964,45.58565776,13,17.23575477,0.384397242,1174.249008,0.37930735999999965
267,665,126.6134292,45.5892088,13,17.23575477,0.384397242,813.9443461,0.3766183599999996
268,666,126.622711,45.58448786,13,16.39797544,0.384397242,393.4440499,0.37930735999999965
269,667,126.6303204,45.57266372,13,16.39797544,0.384397242,808.7835075,0.3787500499999996
270,668,126.6353765,45.57207828,13,16.39797544,0.384397242,1632.029479,0.3789149299999996
271,669,126.6362136,45.57562951,13,16.39797544,0.384397242,2309.398571,0.3789149299999996
272,670,126.6252643,45.57324893,13,16.39797544,0.384397242,1114.819545,0.3787500499999996
273,671,126.6404324,45.57149262,13,16.39797544,0.384397242,1342.35521,0.3794593299999996
274,672,126.646326,45.57445747,13,16.39797544,0.384397242,329.1910264,0.37964387999999966
275,673,126.6421043,45.57859447,13,16.39797544,0.384397242,2179.637823,0.3794593299999996
276,674,126.6412698,45.5750436,13,16.39797544,0.384397242,1284.397366,0.3794593299999996
277,675,126.6311573,45.57621519,13,16.39797544,0.384397242,1725.089415,0.3787500499999996
278,676,126.6488307,45.58510997,13,16.39797544,0.384397242,892.9415989,0.38020118999999963
279,677,126.6479485,45.60345041,13,18.16158725,0.384397242,878.1568295,0.37663030999999964
280,678,126.6261009,45.57680065,13,16.39797544,0.384397242,1702.851282,0.3787500499999996
281,679,126.6269345,45.58035161,13,16.39797544,0.384397242,2147.659174,0.3787500499999996
282,680,126.6277681,45.58390257,13,16.39797544,0.384397242,987.6338004,0.3790277899999996
283,681,126.6336592,45.58686797,13,16.39797544,0.384397242,1448.293915,0.37930735999999965
284,682,126.6286019,45.58745352,13,16.39797544,0.384397242,1303.162068,0.3766183599999996
285,683,126.6328252,45.58331705,13,16.39797544,0.384397242,523.642818,0.3790277899999996
286,684,126.6370478,45.57918041,13,16.39797544,0.384397242,1368.993007,0.3789149299999996
287,685,126.6319912,45.57976613,13,16.39797544,0.384397242,1365.068363,0.3787500499999996
288,686,126.6429389,45.58214534,13,16.39797544,0.384397242,1202.189443,0.3797370699999996
289,687,126.6471608,45.57800831,13,16.39797544,0.384397242,1304.577427,0.37964387999999966
290,688,126.6378821,45.58273131,13,16.39797544,0.384397242,438.8965857,0.3791926699999996
291,689,126.6437736,45.5856962,13,16.39797544,0.384397242,932.1681014,0.38020118999999963
292,690,126.6479957,45.58155915,13,16.39797544,0.384397242,800.60026,0.3799216199999996
293,691,126.6395509,45.58983308,13,16.39797544,0.384397242,416.5418938,0.37732763999999963
294,692,126.6387165,45.5862822,13,16.39797544,0.384397242,603.5431581,0.3794722399999996
295,693,126.6487838,45.60700123,13,18.16158725,0.384397242,155.8890347,0.3772296799999995
296,694,126.6470655,45.62179077,49,18.16158725,0.399803638,1494.806931,0.39822972999999995
297,695,126.604146,45.59392896,12,17.23575477,0.384397242,158.9074371,0.3765586299999996
298,696,126.5982557,45.59096205,12,17.23575477,0.384397242,408.4786849,0.3765359199999996
299,697,126.6100368,45.59689557,13,17.23575477,0.384397242,2786.582273,0.3765586299999996
300,698,126.5990877,45.59451318,12,17.23575477,0.384397242,349.1938657,0.3765586299999996
301,699,126.6058108,45.60103114,12,17.23575477,0.384397242,1528.100467,0.37601159999999956
302,700,126.5999198,45.5980643,12,17.23575477,0.384397242,25.49955523,0.3765981199999996
303,701,126.6092041,45.59334451,13,17.23575477,0.384397242,962.3357923,0.3765359199999996
304,702,126.6033137,45.59037786,12,17.23575477,0.384397242,357.2582283,0.3766183599999996
305,703,126.6201534,45.59572594,13,17.23575477,0.384397242,1761.896011,0.3765586299999996
306,704,126.6049783,45.59748005,12,17.23575477,0.384397242,1414.697457,0.3765981199999996
307,705,126.6150951,45.59631087,13,17.23575477,0.384397242,1389.49123,0.3765586299999996
308,706,126.6209868,45.59927694,13,17.23575477,0.384397242,1250.062043,0.3765981199999996
309,707,126.6159282,45.5998619,13,17.23575477,0.384397242,1231.332866,0.3765981199999996
310,708,126.6218203,45.60282792,13,17.23575477,0.384397242,1117.616209,0.37601159999999956
311,709,126.6007519,45.60161542,12,17.23575477,0.384397242,1711.309244,0.37601159999999956
312,710,126.6108696,45.60044663,13,17.23575477,0.384397242,1418.984262,0.37601159999999956
313,711,126.6117024,45.60399768,13,17.23575477,0.384397242,1124.304327,0.3762226399999995
314,712,126.6184281,45.61051493,13,17.23575477,0.399803638,59.99009863,0.3959904699999999
315,713,126.6192616,45.61406593,49,17.23575477,0.399803638,469.6785417,0.39623054999999985
316,714,126.5965249,45.60575061,12,17.23575477,0.399803638,210.6015777,0.3926141799999999
317,715,126.5973569,45.60930174,12,17.23575477,0.399803638,1449.187517,0.39300250999999986
318,716,126.603249,45.61226873,12,17.23575477,0.399803638,1389.217244,0.39342185999999985
319,717,126.5981891,45.61285287,12,17.23575477,0.399803638,1576.346949,0.39342185999999985
320,718,126.6024165,45.60871763,12,17.23575477,0.399803638,1653.643987,0.39300250999999986
321,720,126.6066434,45.60458221,12,17.23575477,0.384397242,1750.927034,0.3762226399999995
322,721,126.6015842,45.60516653,12,17.23575477,0.399803638,1855.557392,0.3926141799999999
323,722,126.6083088,45.61168436,12,17.23575477,0.399803638,943.7680199,0.39342185999999985
324,723,126.6125354,45.60754872,13,17.23575477,0.399803638,114.7479517,0.39482890999999987
325,724,126.607476,45.60813329,12,17.23575477,0.399803638,1445.786214,0.39300250999999986
326,725,126.6133685,45.61109976,13,17.23575477,0.399803638,902.4491385,0.39524825999999985
327,726,126.6175947,45.60696393,13,17.23575477,0.384397242,1201.608156,0.37661096999999955
328,727,126.6344934,45.59041889,13,16.39797544,0.384397242,624.6988446,0.3765359199999996
329,728,126.6302697,45.59455541,13,17.23575477,0.384397242,500.4346487,0.3765586299999996
330,729,126.6193201,45.59217494,13,17.23575477,0.384397242,1007.066872,0.3765359199999996
331,730,126.6142621,45.59275984,13,17.23575477,0.384397242,1357.864833,0.3765359199999996
332,731,126.636162,45.5975207,13,17.23575477,0.384397242,1094.030975,0.37676299999999957
333,732,126.6252116,45.59514079,13,17.23575477,0.384397242,1480.595694,0.3765586299999996
334,733,126.6311037,45.59810634,13,17.23575477,0.384397242,1125.826834,0.3765981199999996
335,734,126.6369964,45.6010716,13,17.23575477,0.384397242,1002.775921,0.3761764799999996
336,735,126.6167614,45.60341291,13,17.23575477,0.384397242,258.7718243,0.37601159999999956
337,736,126.6260453,45.59869175,13,17.23575477,0.384397242,1020.820726,0.3765981199999996
338,737,126.6268791,45.60224271,13,17.23575477,0.384397242,1209.147329,0.37601159999999956
339,738,126.6353276,45.5939698,13,17.23575477,0.384397242,875.81997,0.37672350999999954
